Start Date,End Date,Headline,Text,Media
8/2/39,,Einstein Alerts Roosevelt to the Importance of Nuclear Research,"Albert Einstein writes President Franklin D. Roosevelt, alerting the President to the importance of research on nuclear chain reactions and the possibility that research might lead to developing powerful bombs. Einstein notes that Germany has stopped the sale of uranium and German physicists are engaged in uranium research.",http://energy.gov/sites/prod/files/01-EinsteinandSzilardlettertoRooseveltGettyImages.jpg
2/24/41,,Discovery of Plutonium,Glenn T. Seaborg’s research group at the University of California in Berkeley discovers plutonium.,http://energy.gov/sites/prod/files/02-Seaborgin1941.jpg
8/13/42,,Manhattan Engineer District Established,"The Army Corps of Engineers establishes the Manhattan Engineer District to develop and build the atomic bomb. Uranium isotope separation facilities are built at Oak Ridge, Tennessee; plutonium production reactors are built at Hanford, Washington; and a weapons laboratory is set up at Los Alamos, New Mexico.",http://energy.gov/sites/prod/files/03-Y12AlphaLarge.jpg
12/2/42,,Enrico Fermi & Team Achieves First Self-sustained Nuclear Chain Reaction,Metallurgical Laboratory scientists led by Enrico Fermi achieve the first self-sustained nuclear chain reaction in pile constructed under the west grandstand at Stagg field in Chicago.,http://energy.gov/sites/prod/files/04-StaggFieldUniversityofChicago.jpg
7/16/45,,Successful Implosion of Plutonium Bomb,"Los Alamos scientists successfully test a plutonium implosion bomb in the Trinity shot at Alamogordo, New Mexico.",http://energy.gov/sites/prod/files/05-TrinityDevicebeingreadiedJuly1945.jpg
8/6/45,8/14/45,Atomic Bombs Dropped on Japan,"The gun model uranium bomb, called Little Boy, is dropped on Hiroshima, Japan. Three days later, the implosion model plutonium bomb, called Fat Man, is dropped on Nagasaki, Japan. Five days later, Japan surrenders.",http://energy.gov/sites/prod/files/06-LittleBoyLarge.gif
8/1/46,1/31/50,Atomic Energy Commission Created,"President Truman signs the Atomic Energy Act of 1946. On January 1, 1947, all atomic energy activities are transferred to the newly created Atomic Energy Commission in accordance with the Act. President Truman instructs the Atomic Energy Commission to expedite development of a thermonuclear weapon.",http://energy.gov/sites/prod/files/07-TEAECSigning1946.jpg
10/31/52,,First Thermonuclear Device Detonated,"The Atomic Energy Commission detonates the first thermonuclear device, code-named ""Mike,"" at Enewetak Atoll in the Pacific. The device explodes with a yield of 10.4 megatons.",http://energy.gov/sites/prod/files/08-TEIvyMikeWhiteLarge1.jpg
12/8/53,,Atoms For Peace Speech Delivered By President Eisenhower,President Eisenhower delivers the “Atoms for Peace” speech at the United Nations launching efforts to develop peaceful uses of nuclear energy both at home and abroad.,http://energy.gov/sites/prod/files/09-EisenhowerdeliversAtomsforPeaceSpeech.jpg
8/22/58,,Eisenhower Announces Moratorium on Nuclear Weapons Testing,President Eisenhower announces a moratorium on nuclear weapons testing to begin on October 31.,http://energy.gov/sites/prod/files/10-eisenhowerhalttesting.jpg
